caudal,turbiedad,vel_dosificacion,kg_dia,dosis_mg_l
150,1,400,57.6,4.44
150,2,425,61.2,4.72
150,2,450,64.8,5
150,3,475,68.4,5.28
150,4,500,72,5.56
150,5,525,75.6,5.83
150,7,550,79.2,6.11
150,8,575,82.8,6.39
150,10,600,86.4,6.67
150,12,625,90,6.94
150,15,650,93.6,7.22
150,17,675,97.2,7.5
150,20,700,100.8,7.78
150,23,725,104.4,8.06
150,27,750,108,8.33
150,31,775,111.6,8.61
150,35,800,115.2,8.89
150,39,825,118.8,9.17
150,44,850,122.4,9.44
150,49,875,126,9.72
150,55,900,129.6,10
150,61,925,133.2,10.28
150,67,950,136.8,10.56
150,81,975,140.4,10.83
150,89,1000,144,11.11
150,97,1025,147.6,11.39
150,106,1050,151.2,11.67
150,115,1075,154.8,11.94
150,125,1100,158.4,12.22
150,135,1125,162,12.5
150,145,1150,165.6,12.78
150,156,1175,169.2,13.06
150,168,1200,172.8,13.33
150,180,1225,176.4,13.61
150,193,1250,180,13.89
150,206,1275,183.6,14.17
150,220,1300,187.2,14.44
150,235,1325,190.8,14.72
150,250,1350,194.4,15
150,266,1375,198,15.28
150,282,1400,201.6,15.56
150,299,1425,205.2,15.83
150,317,1450,208.8,16.11
150,335,1475,212.4,16.39
150,335,1500,216,16.67
150,374,1525,219.6,16.94
150,395,1550,223.2,17.22
150,416,1575,226.8,17.5
150,438,1600,230.4,17.78
150,460,1625,234,18.06
150,484,1650,237.6,18.33
150,508,1675,241.2,18.61
150,533,1700,244.8,18.89
150,558,1725,248.4,19.17
150,585,1750,252,19.44
150,612,1775,255.6,19.72
150,640,1800,259.2,20
150,669,1825,262.8,20.28
150,698,1850,266.4,20.56
150,727,1875,270,20.83
150,755,1900,273.6,21.11
150,784,1925,277.2,21.39
150,813,1950,280.8,21.67
150,841,1975,284.4,21.94
150,870,2000,288,22.22
150,899,2025,291.6,22.5
150,927,2050,295.2,22.78
150,956,2075,298.8,23.06
150,985,2100,302.4,23.33
150,1014,2125,306,23.61
150,1042,2150,309.6,23.89
150,1071,2175,313.2,24.17
150,1100,2200,316.8,24.44
150,1128,2225,320.4,24.72
150,1157,2250,324,25
150,1186,2275,327.6,25.28
150,1214,2300,331.2,25.56
150,1243,2325,334.8,25.83
150,1272,2350,338.4,26.11
150,1301,2375,342,26.39
150,1329,2400,345.6,26.67
150,1358,2425,349.2,26.94
150,1387,2450,352.8,27.22
150,1415,2475,356.4,27.5
150,1444,2500,360,27.78
150,1473,2525,363.6,28.06
150,1501,2550,367.2,28.33
150,1530,2575,370.8,28.61
150,1559,2600,374.4,28.89
150,1588,2625,378,29.17
150,1616,2650,381.6,29.44
150,1645,2675,385.2,29.72
150,1674,2700,388.8,30
150,1702,2725,392.4,30.28
150,1731,2750,396,30.56
150,1760,2775,399.6,30.83
150,1788,2800,403.2,31.11
150,1817,2825,406.8,31.39
150,1846,2850,410.4,31.67
150,1875,2875,414,31.94
150,1903,2900,417.6,32.22
150,1932,2925,421.2,32.5
150,1961,2950,424.8,32.78
150,1989,2975,428.4,33.06
150,2018,3000,432,33.33
160,1,400,57.6,4.17
160,1,425,61.2,4.43
160,2,450,64.8,4.69
160,3,475,68.4,4.95
160,4,500,72,5.21
160,5,525,75.6,5.47
160,6,550,79.2,5.73
160,7,575,82.8,5.99
160,9,600,86.4,6.25
160,10,625,90,6.51
160,12,650,93.6,6.77
160,14,675,97.2,7.03
160,17,700,100.8,7.29
160,19,725,104.4,7.55
160,22,750,108,7.81
160,26,775,111.6,8.07
160,29,800,115.2,8.33
160,33,825,118.8,8.59
160,37,850,122.4,8.85
160,41,875,126,9.11
160,46,900,129.6,9.38
160,51,925,133.2,9.64
160,56,950,136.8,9.9
160,68,975,140.4,10.16
160,74,1000,144,10.42
160,81,1025,147.6,10.68
160,88,1050,151.2,10.94
160,96,1075,154.8,11.2
160,104,1100,158.4,11.46
160,112,1125,162,11.72
160,121,1150,165.6,11.98
160,130,1175,169.2,12.24
160,140,1200,172.8,12.5
160,150,1225,176.4,12.76
160,161,1250,180,13.02
160,172,1275,183.6,13.28
160,183,1300,187.2,13.54
160,196,1325,190.8,13.8
160,208,1350,194.4,14.06
160,221,1375,198,14.32
160,235,1400,201.6,14.58
160,249,1425,205.2,14.84
160,264,1450,208.8,15.1
160,279,1475,212.4,15.36
160,295,1500,216,15.63
160,312,1525,219.6,15.89
160,329,1550,223.2,16.15
160,346,1575,226.8,16.41
160,364,1600,230.4,16.67
160,383,1625,234,16.93
160,403,1650,237.6,17.19
160,423,1675,241.2,17.45
160,443,1700,244.8,17.71
160,465,1725,248.4,17.97
160,487,1750,252,18.23
160,509,1775,255.6,18.49
160,533,1800,259.2,18.75
160,557,1825,262.8,19.01
160,581,1850,266.4,19.27
160,603,1875,270,19.53
160,627,1900,273.6,19.79
160,650,1925,277.2,20.05
160,673,1950,280.8,20.31
160,696,1975,284.4,20.57
160,720,2000,288,20.83
160,743,2025,291.6,21.09
160,766,2050,295.2,21.35
160,789,2075,298.8,21.61
160,813,2100,302.4,21.88
160,836,2125,306,22.14
160,859,2150,309.6,22.4
